Region,Ankuenfte,Ankuenfte_Change,Uebernachtungen,Uebernachtungen_Change,Aufenthaltslaenge_mean,Sequence
HH_Deutschland,2419,46.3,4484,80.4,1.9,200904
HH_Ausland,416,70.5,671,84.3,1.6,200904
HE,21630,68.0,65238,69.6,3.0,200904
HE_Deutschland,19363,73.2,59827,72.5,3.1,200904
HE_Ausland,2267,33.7,5411,43.3,2.4,200904
MV,33556,141.8,124231,168.8,3.7,200904
MV_Deutschland,31890,143.6,119691,171.1,3.8,200904
MV_Ausland,1666,111.2,4540,120.9,2.7,200904
NI,75660,112.6,296017,120.6,3.9,200904
NI_Deutschland,69021,118.8,274917,123.2,4.0,200904
NI_Ausland,6639,64.6,21100,92.1,3.2,200904
NW,35475,103.7,95014,104.1,2.7,200904
NW_Deutschland,29758,119.1,78751,117.7,2.6,200904
NW_Ausland,5717,49.3,16263,56.9,2.8,200904
RP,40709,69.9,122388,79.4,3.0,200904
RP_Deutschland,27898,108.6,80740,140.7,2.9,200904
RP_Ausland,12811,21.1,41648,20.1,3.3,200904
SL,2153,189.0,5419,171.9,2.5,200904
SL_Deutschland,1808,252.4,4689,225.9,2.6,200904
SL_Ausland,345,48.7,730,31.8,2.1,200904
SN,10695,155.9,33361,186.5,3.1,200904
SN_Deutschland,10016,172.2,31476,203.9,3.1,200904
SN_Ausland,679,36.1,1885,46.2,2.8,200904
ST,6820,127.3,16827,156.2,2.5,200904
ST_Deutschland,6183,127.1,15515,154.7,2.5,200904
ST_Ausland,637,129.1,1312,175.1,2.1,200904
SH,55913,97.8,156909,111.2,2.8,200904
SH_Deutschland,52490,99.9,147542,109.8,2.8,200904
SH_Ausland,3423,70.5,9367,134.9,2.7,200904
TH,5074,125.5,16437,193.7,3.2,200904
TH_Deutschland,4431,127.9,14623,192.3,3.3,200904
TH_Ausland,643,110.1,1814,205.4,2.8,200904
BRD,920580,-0.8,2893258,-4.9,3.1,200905
BRD_Deutschland,802800,-0.6,2553076,-5.6,3.2,200905
BRD_Ausland,117780,-1.6,340182,0.7,2.9,200905
BW,108262,-11.0,347685,-15.8,3.2,200905
BW_Deutschland,84464,-12.2,285621,-17.6,3.4,200905
BW_Ausland,23798,-6.3,62064,-6.4,2.6,200905
BY,127362,-17.3,423929,-24.7,3.3,200905
BY_Deutschland,106425,-18.5,377702,-26.3,3.5,200905
BY_Ausland,20937,-11.1,46227,-9.1,2.2,200905
BE,3423,-11.7,10828,-11.7,3.2,200905
BE_Deutschland,2129,-14.4,6590,-18.8,3.1,200905
BE_Ausland,1294,-7.0,4238,2.3,3.3,200905
BR,45116,6.1,137410,21.2,3.0,200905
BR_Deutschland,42607,8.4,130314,23.7,3.1,200905
BR_Ausland,2509,-21.5,7096,-11.5,2.8,200905
HB,3825,54.9,8240,73.5,2.2,200905
HB_Deutschland,-999,-999.0,-999,-999.0,-999.0,200905
HB_Ausland,-999,-999.0,-999,-999.0,-999.0,200905
HH,4249,-14.7,11476,18.8,2.7,200905
HH_Deutschland,3553,-16.7,9951,17.0,2.8,200905
HH_Ausland,696,-2.7,1525,31.9,2.2,200905
HE,48264,-12.2,137366,-14.9,2.8,200905
HE_Deutschland,42601,-15.0,122731,-16.8,2.9,200905
HE_Ausland,5663,16.3,14635,6.3,2.6,200905
MV,110900,10.6,361603,5.1,3.3,200905
MV_Deutschland,106285,10.3,347533,4.6,3.3,200905
MV_Ausland,4615,18.1,14070,20.6,3.0,200905
NI,138284,12.2,514007,14.3,3.7,200905
NI_Deutschland,126479,14.2,470285,13.8,3.7,200905
NI_Ausland,11805,-6.2,43722,21.1,3.7,200905
NW,76194,4.1,200570,1.0,2.6,200905
NW_Deutschland,65628,2.5,167983,0.3,2.6,200905
NW_Ausland,10566,15.2,32587,4.7,3.1,200905
RP,83360,-8.8,253893,-12.1,3.0,200905
RP_Deutschland,57521,-13.7,165415,-17.7,2.9,200905
RP_Ausland,25839,4.4,88478,0.8,3.4,200905
SL,7493,21.1,17552,-5.5,2.3,200905
SL_Deutschland,7029,25.7,16512,-2.5,2.3,200905
SL_Ausland,464,-21.9,1040,-36.7,2.2,200905
SN,28967,6.5,80712,0.0,2.8,200905
SN_Deutschland,27009,6.6,74698,-0.8,2.8,200905
SN_Ausland,1958,5.0,6014,10.5,3.1,200905
ST,19446,9.7,48654,8.0,2.5,200905
ST_Deutschland,18342,11.3,46133,9.1,2.5,200905
ST_Ausland,1104,-12.0,2521,-9.0,2.3,200905
SH,99663,12.9,297680,0.0,3.0,200905
SH_Deutschland,94772,13.8,286129,0.4,3.0,200905
SH_Ausland,4891,-1.6,11551,-8.5,2.4,200905
TH,15772,1.7,41653,0.1,2.6,200905
TH_Deutschland,14326,1.3,37606,0.0,2.6,200905
TH_Ausland,1446,6.6,4047,1.6,2.8,200905
BRD,950070,18.3,3161855,21.5,3.3,200906
BRD_Deutschland,770828,23.8,2673920,25.0,3.5,200906
BRD_Ausland,179242,-0.6,487935,5.5,2.7,200906
BW,121624,24.3,408993,39.4,3.4,200906
BW_Deutschland,86477,34.6,317889,51.2,3.7,200906
BW_Ausland,35147,4.7,91104,9.6,2.6,200906
BY,167660,19.8,584052,33.4,3.5,200906
BY_Deutschland,128640,32.0,497049,41.7,3.9,200906
BY_Ausland,39020,-8.3,87003,0.0,2.2,200906
BE,4596,62.1,13561,53.6,3.0,200906
BE_Deutschland,3037,89.2,9402,84.7,3.1,200906
BE_Ausland,1559,26.7,4159,11.3,2.7,200906
BR,37510,12.7,106474,24.6,2.8,200906
BR_Deutschland,33303,13.8,95007,27.7,2.9,200906
BR_Ausland,4207,4.1,11467,3.8,2.7,200906
HB,3316,-999.0,6439,-999.0,1.9,200906
HB_Deutschland,2732,-999.0,5387,-999.0,2.0,200906
HB_Ausland,584,269.6,1052,246.1,1.8,200906
HH,5676,12.4,10608,20.0,1.9,200906
HH_Deutschland,-999,-999.0,8569,28.1,2.0,200906
HH_Ausland,-999,-999.0,2039,-5.3,-999.0,200906
HE,54154,10.3,146191,-0.8,2.7,200906
HE_Deutschland,45773,15.3,125103,0.6,2.7,200906
HE_Ausland,8381,-10.8,21088,-8.4,2.5,200906
MV,125605,19.6,501381,14.4,4.0,200906
MV_Deutschland,114535,19.4,464446,13.9,4.1,200906
MV_Ausland,11070,22.0,36935,20.7,3.3,200906
NI,125741,21.8,466449,20.8,3.7,200906
