Region,Ankuenfte,Uebernachtungen,Aufenthaltslaenge_mean,Sequence
TH,17106,49945,2.9,201305
Deutschland ,15691,46134,2.9,201305
Ausland,1415,3811,2.7,201305
BRD,906071,2843671,3.1,201306
Deutschland ,721066,2352235,3.3,201306
Ausland,185005,491436,2.7,201306
BW,115570,330564,2.9,201306
Deutschland ,77376,230814,3.0,201306
Ausland,38194,99750,2.6,201306
BY,138434,396710,2.9,201306
Deutschland ,99921,317075,3.2,201306
Ausland,38513,79635,2.1,201306
BE,3224,11253,3.5,201306
Deutschland ,2275,7384,3.2,201306
Ausland,949,3869,4.1,201306
BR,37914,105785,2.8,201306
Deutschland ,33513,94374,2.8,201306
Ausland,4401,11411,2.6,201306
HB,2930,7239,2.5,201306
Deutschland ,2365,6261,2.6,201306
Ausland,565,978,1.7,201306
HH,8287,15508,1.9,201306
Deutschland ,6873,12817,1.9,201306
Ausland,1414,2691,1.9,201306
HE,48686,117804,2.4,201306
Deutschland ,39887,96541,2.4,201306
Ausland,8799,21263,2.4,201306
MV,119661,496466,4.1,201306
Deutschland ,110567,463621,4.2,201306
Ausland,9094,32845,3.6,201306
NI,130248,426936,3.3,201306
Deutschland ,110454,370450,3.4,201306
Ausland,19794,56486,2.9,201306
NW,66740,216521,3.2,201306
Deutschland ,52346,174208,3.3,201306
Ausland,14394,42313,2.9,201306
RP,82962,246724,3.0,201306
Deutschland ,50669,145269,2.9,201306
Ausland,32293,101455,3.1,201306
SL,5600,11450,2.0,201306
Deutschland ,4767,9653,2.0,201306
Ausland,833,1797,2.2,201306
SN,15646,43852,2.8,201306
Deutschland ,13630,38318,2.8,201306
Ausland,2016,5534,2.7,201306
ST,11286,23799,2.1,201306
Deutschland ,9626,20677,2.1,201306
Ausland,1660,3122,1.9,201306
Schleswig Holstein,105395,360481,3.4,201306
Deutschland ,94952,336547,3.5,201306
Ausland,10443,23934,2.3,201306
TH,13488,32579,2.4,201306
Deutschland ,11845,28226,2.4,201306
Ausland,1643,4353,2.6,201306
BRD,1935920,7088051,3.7,201307
Deutschland ,1475467,5748954,3.9,201307
Ausland,460453,1339097,2.9,201307
BW,241962,783644,3.2,201307
Deutschland ,145938,486147,3.3,201307
Ausland,96024,297497,3.1,201307
BY,339652,1007959,3.0,201307
Deutschland ,221615,749302,3.4,201307
Ausland,118037,258657,2.2,201307
BE,4570,19308,4.2,201307
Deutschland ,2544,10907,4.3,201307
Ausland,2026,8401,4.1,201307
BR,82854,285219,3.4,201307
Deutschland ,71988,255767,3.6,201307
Ausland,10866,29452,2.7,201307
HB,3905,8716,2.2,201307
Deutschland ,2475,6420,2.6,201307
Ausland,1430,2296,1.6,201307
HH,11194,24124,2.2,201307
Deutschland ,8390,18721,2.2,201307
Ausland,2804,5403,1.9,201307
HE,89308,265946,3.0,201307
Deutschland ,69811,218462,3.1,201307
Ausland,19497,47484,2.4,201307
MV,293533,1427917,4.9,201307
Deutschland ,272319,1357544,5.0,201307
Ausland,21214,70373,3.3,201307
NI,244850,1003000,4.1,201307
Deutschland ,197147,860146,4.4,201307
Ausland,47703,142854,3.0,201307
NW,114116,317574,2.8,201307
Deutschland ,88146,240715,2.7,201307
Ausland,25970,76859,3.0,201307
RP,145120,509147,3.5,201307
Deutschland ,76769,228824,3.0,201307
Ausland,68351,280323,4.1,201307
SL,12627,35144,2.8,201307
Deutschland ,10791,30861,2.9,201307
Ausland,1836,4283,2.3,201307
SN,41533,133677,3.2,201307
Deutschland ,34075,112090,3.3,201307
Ausland,7458,21587,2.9,201307
ST,27424,68786,2.5,201307
Deutschland ,22261,57957,2.6,201307
Ausland,5163,10829,2.1,201307
Schleswig Holstein,241832,1065934,4.4,201307
Deutschland ,214276,994662,4.6,201307
Ausland,27556,71272,2.6,201307
TH,41440,131956,3.2,201307
Deutschland ,36922,120429,3.3,201307
Ausland,4518,11527,2.6,201307
BRD,1905631,7207241,3.8,201308
Deutschland ,1538733,6071985,3.9,201308
Ausland,366898,1135256,3.1,201308
BW,249603,960500,3.8,201308
Deutschland ,170281,697067,4.1,201308
Ausland,79322,263433,3.3,201308
BY,383823,1363321,3.6,201308
Deutschland ,293509,1147978,3.9,201308
Ausland,90314,215343,2.4,201308
BE,6687,28476,4.3,201308
Deutschland ,3690,17431,4.7,201308
Ausland,2997,11045,3.7,201308
BR,74676,260185,3.5,201308
Deutschland ,66781,238019,3.6,201308
Ausland,7895,22166,2.8,201308
HB,,,,201308
Deutschland ,,,,201308
Ausland,,,,201308
HH,,,,201308
Deutschland ,,,,201308
Ausland,,,,201308
HE,87475,263912,3.0,201308
Deutschland ,71259,222877,3.1,201308
Ausland,16216,41035,2.5,201308
MV,250843,1245309,5.0,201308
Deutschland ,235281,1192308,5.1,201308
Ausland,15562,53001,3.4,201308
NI,228583,892405,3.9,201308
Deutschland ,196028,783642,4.0,201308
Ausland,32555,108763,3.3,201308
NW,111366,335369,3.0,201308
Deutschland ,87717,264911,3.0,201308
Ausland,23649,70458,3.0,201308
RP,151682,526652,3.5,201308
Deutschland ,87969,263934,3.0,201308
Ausland,63713,262718,4.1,201308
SL,11847,34963,3.0,201308
Deutschland ,10310,31061,3.0,201308
Ausland,1537,3902,2.5,201308
SN,42998,138056,3.2,201308
Deutschland ,35861,118481,3.3,201308
Ausland,7137,19575,2.7,201308
ST,25546,64665,2.5,201308
Deutschland ,21997,56818,2.6,201308
Ausland,3549,7847,2.2,201308
Schleswig Holstein,190177,839241,4.4,201308
Deutschland ,173992,797934,4.6,201308
Ausland,16185,41307,2.6,201308
TH,75155,222616,3.0,201308
Deutschland ,71949,213975,3.0,201308
Ausland,3206,8641,2.7,201308
Deutschland ,562176,1935435,3.4,201309
Ausland,134767,370714,2.8,201309
BW,94468,321240,3.4,201309
Deutschland ,67919,253155,3.7,201309
Ausland,26549,68085,2.6,201309
BY,139842,467197,3.3,201309
Deutschland ,112958,407830,3.6,201309
Ausland,26884,59367,2.2,201309
BE,3079,11189,3.6,201309
Deutschland ,1933,6920,3.6,201309
Ausland,1146,4269,3.7,201309
BR,22309,72947,3.3,201309
Deutschland ,20300,67363,3.3,201309
Ausland,2009,5584,2.8,201309
HB,2239,4735,2.1,201309
Deutschland ,1894,4057,2.1,201309
Ausland,345,678,2.0,201309
HH,5008,7668,1.5,201309
Deutschland ,4450,6455,1.5,201309
Ausland,558,1213,2.2,201309
HE,33414,82970,2.5,201309
Deutschland ,27239,69606,2.6,201309
Ausland,6175,13364,2.2,201309
MV,69714,315304,4.5,201309
Deutschland ,64950,300733,4.6,201309
Ausland,4764,14571,3.1,201309
NI,86945,295684,3.4,201309
Deutschland ,73205,258729,3.5,201309
Ausland,13740,36955,2.7,201309
NW,49461,119171,2.4,201309
Deutschland ,38882,93145,2.4,201309
Ausland,10579,26026,2.5,201309
RP,89036,285562,3.2,201309
Deutschland ,56774,169460,3.0,201309
Ausland,32262,116102,3.6,201309
SL,2834,9082,3.2,201309
Deutschland ,2265,7551,3.3,201309
Ausland,569,1531,2.7,201309
SN,12048,38349,3.2,201309
Deutschland ,10581,34475,3.3,201309
Ausland,1467,3874,2.6,201309
ST,9621,21538,2.2,201309
Deutschland ,8535,19127,2.2,201309
Ausland,1086,2411,2.2,201309
Schleswig Holstein,66939,228124,3.4,201309
Deutschland ,61526,214512,3.5,201309
Ausland,5413,13612,2.5,201309
TH,9986,25389,2.5,201309
Deutschland ,8765,22317,2.5,201309
Ausland,1221,3072,2.5,201309
Deutschland ,376514,1276493,3.4,201310
Ausland,55849,152903,2.7,201310
BW,58013,193253,3.3,201310
Deutschland ,44448,159473,3.6,201310
Ausland,13565,33780,2.5,201310
BY,84738,279779,3.3,201310
Deutschland ,74880,253989,3.4,201310
Ausland,9858,25790,2.6,201310
BE,2314,8619,3.7,201310
Deutschland ,1822,6622,3.6,201310
Ausland,492,1997,4.1,201310
BR,12203,47371,3.9,201310
Deutschland ,11319,44860,4.0,201310
Ausland,884,2511,2.8,201310
HB,2529,5135,2.0,201310
Deutschland ,2253,4707,2.1,201310
Ausland,276,428,1.6,201310
HH,4623,7424,1.6,201310
Deutschland ,,,,201310
Ausland,,,,201310
HE,19168,49729,2.6,201310
Deutschland ,17202,44630,2.6,201310
Ausland,1966,5099,2.6,201310
MV,28844,134149,4.7,201310
Deutschland ,28023,131935,4.7,201310
Ausland,821,2214,2.7,201310
NI,64566,230706,3.6,201310
Deutschland ,60176,219620,3.6,201310
Ausland,4390,11086,2.5,201310
NW,34179,89040,2.6,201310
Deutschland ,28045,74663,2.7,201310
Ausland,6134,14377,2.3,201310
RP,61968,186370,3.0,201310
Deutschland ,48852,142326,2.9,201310
Ausland,13116,44044,3.4,201310
SL,1540,4600,3.0,201310
Deutschland ,,,,201310
Ausland,,,,201310
SN,8719,30676,3.5,201310
Deutschland ,8394,29795,3.5,201310
Ausland,325,881,2.7,201310
ST,5466,14852,2.7,201310
Deutschland ,5256,14379,2.7,201310
Ausland,210,473,2.3,201310
Schleswig Holstein,38938,134350,3.5,201310
Deutschland ,35928,126152,3.5,201310
Ausland,3010,8198,2.7,201310
TH,4555,13343,2.9,201310
Deutschland ,4290,12657,3.0,201310
Ausland,265,686,2.6,201310
Deutschland ,64435,198379,3.1,201311
Ausland,9088,23722,2.6,201311
BW,10852,42535,3.9,201311
Deutschland ,8340,35564,4.3,201311
Ausland,2512,6971,2.8,201311
BY,12664,47397,3.7,201311
Deutschland ,11741,44823,3.8,201311
Ausland,923,2574,2.8,201311
BE,347,1457,4.2,201311
Deutschland ,256,955,3.7,201311
Ausland,91,502,5.5,201311
BR,735,2447,3.3,201311
Deutschland ,,,,201311
Ausland,,,,201311
HB,1547,3346,2.2,201311
Deutschland ,1506,3267,2.2,201311
Ausland,41,79,1.9,201311
HH,2212,3378,1.5,201311
Deutschland ,,,,201311
Ausland,,,,201311
HE,4384,12324,2.8,201311
Deutschland ,4008,11285,2.8,201311
Ausland,376,1039,2.8,201311
MV,1908,9853,5.2,201311
Deutschland ,1870,9771,5.2,201311
Ausland,38,82,2.2,201311
NI,11456,32826,2.9,201311
Deutschland ,10619,30716,2.9,201311
Ausland,837,2110,2.5,201311
NW,11953,28329,2.4,201311
Deutschland ,9814,23505,2.4,201311
Ausland,2139,4824,2.3,201311
RP,7877,19553,2.5,201311
Deutschland ,6550,16300,2.5,201311
Ausland,1327,3253,2.5,201311
SL,270,858,3.2,201311
Deutschland ,226,703,3.1,201311
Ausland,44,155,3.5,201311
SN,1570,5577,3.6,201311
Deutschland ,1509,5357,3.6,201311
Ausland,61,220,3.6,201311
ST,678,1898,2.8,201311
Deutschland ,670,1874,2.8,201311
Ausland,8,24,3.0,201311
Schleswig Holstein,4666,9130,2.0,201311
Deutschland ,4124,7672,1.9,201311
Ausland,542,1458,2.7,201311
TH,404,1193,3.0,201311
Deutschland ,392,1169,3.0,201311
Ausland,12,24,2.0,201311
Deutschland ,61494,236396,3.8,201312
Ausland,7714,22067,2.9,201312
BW,9719,40013,4.1,201312
Deutschland ,7415,34178,4.6,201312
Ausland,2304,5835,2.5,201312
BY,15146,76182,5.0,201312
Deutschland ,13967,71824,5.1,201312
Ausland,1179,4358,3.7,201312
BE,688,3042,4.4,201312
Deutschland ,520,2171,4.2,201312
Ausland,168,871,5.2,201312
BR,697,1811,2.6,201312
Deutschland ,,1696,,201312
Ausland,,115,,201312
HB,727,3081,4.2,201312
Deutschland ,,,,201312
Ausland,,,,201312
HH,,,,201312
Deutschland ,,,,201312
Ausland,,,,201312
HE,3320,10697,3.2,201312
Deutschland ,3192,10445,3.3,201312
Ausland,128,252,2.0,201312
MV,4077,25099,6.2,201312
Deutschland ,4009,24896,6.2,201312
Ausland,68,203,3.0,201312
NI,10940,35456,3.2,201312
Deutschland ,10524,34189,3.2,201312
Ausland,416,1267,3.0,201312
NW,10749,29213,2.7,201312
Deutschland ,8611,23784,2.8,201312
Ausland,2138,5429,2.5,201312
RP,3306,9241,2.8,201312
Deutschland ,2824,7659,2.7,201312
Ausland,482,1582,3.3,201312
SL,,,,201312
Deutschland ,,,,201312
Ausland,,,,201312
SN,975,4117,4.2,201312
Deutschland ,946,3987,4.2,201312
Ausland,29,130,4.5,201312
ST,661,2862,4.3,201312
Deutschland ,649,2832,4.4,201312
Ausland,12,30,2.5,201312
Schleswig Holstein,5885,12795,2.2,201312
Deutschland ,5232,11114,2.1,201312
Ausland,653,1681,2.6,201312
TH,506,2160,4.3,201312
Deutschland ,497,2101,4.2,201312
Ausland,9,59,6.6,201312
Deutschland ,45978,192862,4.2,201401
Ausland,5669,17737,3.1,201401
BW,9111,41441,4.5,201401
Deutschland ,7505,36843,4.9,201401
Ausland,1606,4598,2.9,201401
BY,11801,71059,6.0,201401
Deutschland ,10521,65837,6.3,201401
Ausland,1280,5222,4.1,201401
BE,451,1361,3.0,201401
Deutschland ,310,685,2.2,201401
Ausland,141,676,4.8,201401
BR,141,582,4.1,201401
Deutschland ,,,,201401
Ausland,,,,201401
HB,641,2189,3.4,201401
Deutschland ,598,2092,3.5,201401
Ausland,43,97,2.3,201401
HH,969,1342,1.4,201401
Deutschland ,,,,201401
Ausland,,,,201401
HE,2787,9782,3.5,201401
Deutschland ,2632,9419,3.6,201401
Ausland,155,363,2.3,201401
MV,1257,12240,9.7,201401
Deutschland ,1236,12138,9.8,201401
Ausland,21,102,4.9,201401
NI,7055,26766,3.8,201401
Deutschland ,6583,25138,3.8,201401
Ausland,472,1628,3.4,201401
NW,8694,21066,2.4,201401
Deutschland ,7495,18248,2.4,201401
Ausland,1199,2818,2.4,201401
RP,2902,6892,2.4,201401
Deutschland ,2393,5704,2.4,201401
Ausland,509,1188,2.3,201401
SL,85,344,4.0,201401
Deutschland ,67,,,201401
Ausland,18,,,201401
SN,265,2006,7.6,201401
Deutschland ,,,,201401
Ausland,,,,201401
ST,431,1786,4.1,201401
Deutschland ,,1652,,201401
Ausland,,134,,201401
Schleswig Holstein,4665,9970,2.1,201401
Deutschland ,4489,9259,2.1,201401
Ausland,176,711,4.0,201401
TH,392,1773,4.5,201401
Deutschland ,379,1753,4.6,201401
Ausland,13,20,1.5,201401
Deutschland ,43419,147986,3.4,201402
Ausland,6478,19914,3.1,201402
BW,5818,25585,4.4,201402
Deutschland ,4602,22043,4.8,201402
Ausland,1216,3542,2.9,201402
BY,10987,53230,4.8,201402
Deutschland ,8999,45765,5.1,201402
Ausland,1988,7465,3.8,201402
BE,161,932,5.8,201402
Deutschland ,,,,201402
Ausland,,,,201402
BR,156,466,3.0,201402
Deutschland ,148,443,3.0,201402
Ausland,8,23,2.9,201402
HB,742,1689,2.3,201402
Deutschland ,690,1595,2.3,201402
Ausland,52,94,1.8,201402
HH,1080,1443,1.3,201402
Deutschland ,,,,201402
Ausland,,,,201402
HE,2851,7528,2.6,201402
Deutschland ,2659,7082,2.7,201402
Ausland,192,446,2.3,201402
MV,1420,7831,5.5,201402
Deutschland ,,7821,,201402
Ausland,,10,,201402
NI,6379,19763,3.1,201402
Deutschland ,5939,18166,3.1,201402
Ausland,440,1597,3.6,201402
NW,9080,22472,2.5,201402
Deutschland ,7659,18605,2.4,201402
Ausland,1421,3867,2.7,201402
RP,4989,12833,2.6,201402
Deutschland ,4286,11365,2.7,201402
Ausland,703,1468,2.1,201402
SL,115,323,2.8,201402
Deutschland ,86,249,2.9,201402
Ausland,29,74,2.6,201402
SN,526,2140,4.1,201402
Deutschland ,520,2134,4.1,201402
Ausland,6,6,1.0,201402
ST,547,1361,2.5,201402
Deutschland ,515,1230,2.4,201402
Ausland,32,131,4.1,201402
Schleswig Holstein,4753,9312,2.0,201402
Deutschland ,4474,8773,2.0,201402
Ausland,279,539,1.9,201402
TH,293,992,3.4,201402
Deutschland ,271,932,3.4,201402
Ausland,22,60,2.7,201402
Deutschland ,117249,339236,2.9,201403
Ausland,13742,35925,2.6,201403
BW,16528,59443,3.6,201403
Deutschland ,13540,50904,3.8,201403
Ausland,2988,8539,2.9,201403
BY,25103,95768,3.8,201403
Deutschland ,22869,88535,3.9,201403
Ausland,2234,7233,3.2,201403
BE,353,1686,4.8,201403
Deutschland ,258,674,,201403
Ausland,95,1012,,201403
BR,536,1294,2.4,201403
Deutschland ,526,1280,2.4,201403
Ausland,10,14,1.4,201403
HB,1141,3978,3.5,201403
Deutschland ,1039,3724,3.6,201403
Ausland,102,254,2.5,201403
HH,2163,2924,1.4,201403
Deutschland ,,,,201403
Ausland,,,,201403
HE,8050,22123,2.7,201403
Deutschland ,7420,20767,2.8,201403
Ausland,630,1356,2.2,201403
MV,4821,18364,3.8,201403
Deutschland ,4771,18288,3.8,201403
Ausland,50,76,1.5,201403
NI,19410,57150,2.9,201403
Deutschland ,18249,54281,3.0,201403
Ausland,1161,2869,2.5,201403
NW,22248,49974,2.2,201403
Deutschland ,19105,43272,2.3,201403
Ausland,3143,6702,2.1,201403
RP,13986,30194,2.2,201403
Deutschland ,11621,24377,2.1,201403
Ausland,2365,5817,2.5,201403
SL,402,1029,2.6,201403
Deutschland ,371,892,2.4,201403
Ausland,31,137,4.4,201403
SN,1306,4080,3.1,201403
Deutschland ,1252,3960,3.2,201403
Ausland,54,120,2.2,201403
ST,1294,2604,2.0,201403
Deutschland ,1262,2549,2.0,201403
Ausland,32,55,1.7,201403
Schleswig Holstein,12679,22025,1.7,201403
Deutschland ,11922,20534,1.7,201403
Ausland,757,1491,2.0,201403
TH,971,2525,2.6,201403
Deutschland ,928,2387,2.6,201403
Ausland,43,138,3.2,201403
Deutschland ,519359,1717431,3.3,201404
Ausland,79536,208542,2.6,201404
BW,83324,278780,3.3,201404
Deutschland ,63405,225955,3.6,201404
Ausland,19919,52825,2.7,201404
BY,90571,291651,3.2,201404
Deutschland ,78497,262455,3.3,201404
Ausland,12074,29196,2.4,201404
BE,2993,8939,3.0,201404
Deutschland ,2196,6302,2.9,201404
