land,wohnsitz,jahr,monat,ankuenfte_anzahl,ankuenfte_veraenderung_zum_vorjahreszeitraum_prozent,uebernachtungen_anzahl,uebernachtungen_veraenderung_zum_vorjahreszeitraum_prozent,durchsch_aufenthaltsdauer_tage
Sachsen,Gesamt,2006,August,40680.0,4.5,127318.0,4.5,3.1
Sachsen-Anhalt,Inland,2006,August,20143.0,2.7,55291.0,1.6,2.7
Sachsen-Anhalt,Ausland,2006,August,3309.0,4.7,7298.0,15.6,2.2
Sachsen-Anhalt,Gesamt,2006,August,23452.0,2.9,62589.0,3.1,2.7
Thüringen,Inland,2006,August,72073.0,-16.7,219435.0,-18.4,3.0
Thüringen,Ausland,2006,August,4174.0,9.6,11335.0,10.7,2.7
Thüringen,Gesamt,2006,August,76247.0,-15.6,230770.0,-17.3,3.0
Gesamt,Inland,2006,August,1095325.0,-5.6,5078083.0,-6.5,4.6
Gesamt,Ausland,2006,August,300220.0,-1.1,955112.0,-3.2,3.2
Gesamt,Gesamt,2006,August,1395545.0,-4.6,6033195.0,-6.0,4.3
Schleswig-Holstein,Inland,2006,September,39134.0,5.8,174213.0,-0.8,4.5
Schleswig-Holstein,Ausland,2006,September,3146.0,13.9,7021.0,14.7,2.2
Schleswig-Holstein,Gesamt,2006,September,42280.0,6.4,181234.0,-0.3,4.3
Hamburg,Inland,2006,September,.,.,.,.,.
Hamburg,Ausland,2006,September,.,.,.,.,.
Hamburg,Gesamt,2006,September,.,.,.,.,.
Niedersachsen,Inland,2006,September,51163.0,8.3,215528.0,-7.1,4.2
Niedersachsen,Ausland,2006,September,7281.0,18.5,21702.0,44.7,3.0
Niedersachsen,Gesamt,2006,September,58444.0,9.5,237230.0,-3.9,4.1
Bremen,Inland,2006,September,.,.,.,.,.
Bremen,Ausland,2006,September,.,.,.,.,.
Bremen,Gesamt,2006,September,.,.,.,.,.
Nordrhein-Westfalen,Inland,2006,September,23198.0,7.4,55673.0,-7.5,2.4
Nordrhein-Westfalen,Ausland,2006,September,5895.0,29.6,15497.0,-17.8,2.6
Nordrhein-Westfalen,Gesamt,2006,September,29093.0,11.2,71170.0,-10.0,2.4
Hessen,Inland,2006,September,26869.0,5.7,80027.0,8.3,3.0
Hessen,Ausland,2006,September,4093.0,1.5,10321.0,4.4,2.5
Hessen,Gesamt,2006,September,30962.0,5.2,90348.0,7.9,2.9
Rheinland-Pfalz,Inland,2006,September,43439.0,12.3,130890.0,3.5,3.0
Rheinland-Pfalz,Ausland,2006,September,26037.0,21.3,91990.0,5.4,3.5
Rheinland-Pfalz,Gesamt,2006,September,69476.0,15.5,222880.0,4.3,3.2
Baden-Württemberg,Inland,2006,September,60894.0,8.5,233877.0,0.8,3.8
Baden-Württemberg,Ausland,2006,September,20091.0,21.9,54099.0,19.2,2.7
Baden-Württemberg,Gesamt,2006,September,80985.0,11.5,287976.0,3.9,3.6
Bayern,Inland,2006,September,95345.0,13.3,398967.0,10.1,4.2
Bayern,Ausland,2006,September,27179.0,17.3,63121.0,16.8,2.3
Bayern,Gesamt,2006,September,122524.0,14.2,462088.0,11.0,3.8
Saarland,Inland,2006,September,1726.0,-28.2,4940.0,-16.6,2.9
Saarland,Ausland,2006,September,354.0,-41.6,961.0,-27.5,2.7
Saarland,Gesamt,2006,September,2080.0,-30.9,5901.0,-18.6,2.8
Berlin,Inland,2006,September,1514.0,4.2,5797.0,6.3,3.8
Berlin,Ausland,2006,September,906.0,30.5,3388.0,43.7,3.7
Berlin,Gesamt,2006,September,2420.0,12.7,9185.0,17.6,3.8
Brandenburg,Inland,2006,September,17175.0,-7.0,48318.0,-1.7,2.8
Brandenburg,Ausland,2006,September,1274.0,1.8,3972.0,18.0,3.1
Brandenburg,Gesamt,2006,September,18449.0,-6.4,52290.0,-0.4,2.8
Mecklenburg-Vorpommern,Inland,2006,September,60980.0,-4.7,236489.0,4.0,3.9
Mecklenburg-Vorpommern,Ausland,2006,September,2714.0,2.6,8276.0,13.0,3.0
Mecklenburg-Vorpommern,Gesamt,2006,September,63694.0,-4.4,244765.0,4.3,3.8
Sachsen,Inland,2006,September,14159.0,15.8,41959.0,17.6,3.0
Sachsen,Ausland,2006,September,1846.0,28.1,4876.0,9.1,2.6
Sachsen,Gesamt,2006,September,16005.0,17.1,46835.0,16.7,2.9
Sachsen-Anhalt,Inland,2006,September,7357.0,8.6,16870.0,-0.5,2.3
Sachsen-Anhalt,Ausland,2006,September,910.0,7.6,2098.0,20.2,2.3
Sachsen-Anhalt,Gesamt,2006,September,8267.0,8.5,18968.0,1.5,2.3
Thüringen,Inland,2006,September,6234.0,6.3,17253.0,17.9,2.8
Thüringen,Ausland,2006,September,1034.0,18.0,2909.0,-2.9,2.8
Thüringen,Gesamt,2006,September,7268.0,7.8,20162.0,14.4,2.8
Gesamt,Inland,2006,September,451607.0,6.5,1666363.0,2.5,3.7
Gesamt,Ausland,2006,September,103278.0,17.9,291317.0,11.5,2.8
Gesamt,Gesamt,2006,September,554885.0,8.5,1957680.0,3.8,3.5
Schleswig-Holstein,Inland,2006,Oktober,16298.0,-13.4,89765.0,3.9,5.5
Schleswig-Holstein,Ausland,2006,Oktober,1740.0,20.5,4550.0,15.3,2.6
Schleswig-Holstein,Gesamt,2006,Oktober,18038.0,-11.0,94315.0,4.4,5.2
Hamburg,Inland,2006,Oktober,.,.,.,.,.
Hamburg,Ausland,2006,Oktober,.,.,.,.,.
Hamburg,Gesamt,2006,Oktober,.,.,.,.,.
Niedersachsen,Inland,2006,Oktober,39094.0,12.0,208690.0,28.4,5.3
Niedersachsen,Ausland,2006,Oktober,3364.0,15.4,9375.0,22.2,2.8
Niedersachsen,Gesamt,2006,Oktober,42458.0,12.3,218065.0,28.1,5.1
Bremen,Inland,2006,Oktober,.,.,.,.,.
Bremen,Ausland,2006,Oktober,.,.,.,.,.
Bremen,Gesamt,2006,Oktober,.,.,.,.,.
Nordrhein-Westfalen,Inland,2006,Oktober,15741.0,19.1,51926.0,15.5,3.3
Nordrhein-Westfalen,Ausland,2006,Oktober,2819.0,26.4,8230.0,23.0,2.9
Nordrhein-Westfalen,Gesamt,2006,Oktober,18560.0,20.1,60156.0,16.5,3.2
Hessen,Inland,2006,Oktober,13713.0,12.6,44551.0,9.0,3.2
Hessen,Ausland,2006,Oktober,1238.0,5.5,3414.0,31.5,2.8
Hessen,Gesamt,2006,Oktober,14951.0,12.0,47965.0,10.3,3.2
Rheinland-Pfalz,Inland,2006,Oktober,33979.0,2.2,107098.0,-4.2,3.2
Rheinland-Pfalz,Ausland,2006,Oktober,12439.0,12.5,45560.0,-0.9,3.7
Rheinland-Pfalz,Gesamt,2006,Oktober,46418.0,4.7,152658.0,-3.2,3.3
Baden-Württemberg,Inland,2006,Oktober,27628.0,3.9,130591.0,10.6,4.7
Baden-Württemberg,Ausland,2006,Oktober,6755.0,16.9,21694.0,25.8,3.2
Baden-Württemberg,Gesamt,2006,Oktober,34383.0,6.2,152285.0,12.5,4.4
Bayern,Inland,2006,Oktober,49175.0,8.5,222185.0,12.0,4.5
Bayern,Ausland,2006,Oktober,6672.0,-1.3,21979.0,3.6,3.3
Bayern,Gesamt,2006,Oktober,55847.0,7.2,244164.0,11.2,4.4
Saarland,Inland,2006,Oktober,781.0,30.6,2683.0,30.4,3.4
Saarland,Ausland,2006,Oktober,149.0,65.6,501.0,32.2,3.4
Saarland,Gesamt,2006,Oktober,930.0,35.2,3184.0,30.7,3.4
Berlin,Inland,2006,Oktober,1521.0,26.1,6514.0,23.4,4.3
Berlin,Ausland,2006,Oktober,452.0,41.7,1481.0,38.5,3.3
Berlin,Gesamt,2006,Oktober,1973.0,29.4,7995.0,25.9,4.1
Brandenburg,Inland,2006,Oktober,6245.0,-12.1,20717.0,-7.3,3.3
Brandenburg,Ausland,2006,Oktober,512.0,141.5,1653.0,90.4,3.2
Brandenburg,Gesamt,2006,Oktober,6757.0,-7.7,22370.0,-3.6,3.3
Mecklenburg-Vorpommern,Inland,2006,Oktober,22093.0,9.2,92833.0,21.9,4.2
Mecklenburg-Vorpommern,Ausland,2006,Oktober,678.0,20.2,1893.0,17.9,2.8
Mecklenburg-Vorpommern,Gesamt,2006,Oktober,22771.0,9.5,94726.0,21.9,4.2
Sachsen,Inland,2006,Oktober,6999.0,17.3,25505.0,25.4,3.6
Sachsen,Ausland,2006,Oktober,576.0,100.0,1223.0,26.3,2.1
Sachsen,Gesamt,2006,Oktober,7575.0,21.1,26728.0,25.4,3.5
Sachsen-Anhalt,Inland,2006,Oktober,4176.0,16.1,12161.0,20.5,2.9
Sachsen-Anhalt,Ausland,2006,Oktober,277.0,69.9,663.0,67.4,2.4
Sachsen-Anhalt,Gesamt,2006,Oktober,4453.0,18.5,12824.0,22.3,2.9
Thüringen,Inland,2006,Oktober,3463.0,13.1,11121.0,15.1,3.2
Thüringen,Ausland,2006,Oktober,289.0,86.5,1190.0,139.4,4.1
Thüringen,Gesamt,2006,Oktober,3752.0,16.7,12311.0,21.2,3.3
Gesamt,Inland,2006,Oktober,243171.0,6.5,1031570.0,12.7,4.2
Gesamt,Ausland,2006,Oktober,38320.0,14.1,124143.0,11.0,3.2
Gesamt,Gesamt,2006,Oktober,281491.0,7.4,1155713.0,12.5,4.1
Schleswig-Holstein,Inland,2006,November,1007.0,-7.8,2534.0,6.3,2.5
Schleswig-Holstein,Ausland,2006,November,167.0,92.0,306.0,-34.8,1.8
Schleswig-Holstein,Gesamt,2006,November,1174.0,-0.4,2840.0,-0.5,2.4
Hamburg,Inland,2006,November,.,.,.,.,.
Hamburg,Ausland,2006,November,.,.,.,.,.
Hamburg,Gesamt,2006,November,.,.,.,.,.
Niedersachsen,Inland,2006,November,5910.0,65.1,27059.0,60.4,4.6
Niedersachsen,Ausland,2006,November,335.0,39.6,1192.0,97.0,3.6
Niedersachsen,Gesamt,2006,November,6245.0,63.5,28251.0,61.6,4.5
Bremen,Inland,2006,November,.,.,.,.,.
Bremen,Ausland,2006,November,.,.,.,.,.
Bremen,Gesamt,2006,November,.,.,.,.,.
Nordrhein-Westfalen,Inland,2006,November,4645.0,3.6,13875.0,-5.2,3.0
Nordrhein-Westfalen,Ausland,2006,November,717.0,22.8,1915.0,21.0,2.7
Nordrhein-Westfalen,Gesamt,2006,November,5362.0,5.8,15790.0,-2.6,2.9
Hessen,Inland,2006,November,3376.0,20.4,11966.0,21.7,3.5
Hessen,Ausland,2006,November,273.0,97.8,638.0,228.9,2.3
Hessen,Gesamt,2006,November,3649.0,24.0,12604.0,25.8,3.5
Rheinland-Pfalz,Inland,2006,November,2953.0,13.2,7629.0,7.0,2.6
Rheinland-Pfalz,Ausland,2006,November,690.0,12.6,2463.0,-8.1,3.6
Rheinland-Pfalz,Gesamt,2006,November,3643.0,13.1,10092.0,2.8,2.8
Baden-Württemberg,Inland,2006,November,5856.0,16.1,30547.0,26.5,5.2
Baden-Württemberg,Ausland,2006,November,1347.0,31.5,4665.0,53.4,3.5
Baden-Württemberg,Gesamt,2006,November,7203.0,18.7,35212.0,29.5,4.9
Bayern,Inland,2006,November,6352.0,-4.6,35223.0,-13.4,5.5
Bayern,Ausland,2006,November,629.0,22.1,2314.0,77.9,3.7
Bayern,Gesamt,2006,November,6981.0,-2.7,37537.0,-10.6,5.4
Saarland,Inland,2006,November,75.0,10.3,416.0,165.0,5.5
Saarland,Ausland,2006,November,27.0,-50.0,91.0,-72.7,3.4
Saarland,Gesamt,2006,November,102.0,-16.4,507.0,3.5,5.0
Berlin,Inland,2006,November,221.0,-71.9,944.0,-73.1,4.3
Berlin,Ausland,2006,November,64.0,-66.3,188.0,-68.5,2.9
Berlin,Gesamt,2006,November,285.0,-70.8,1132.0,-72.4,4.0
Brandenburg,Inland,2006,November,307.0,2.7,1052.0,-19.1,3.4
Brandenburg,Ausland,2006,November,10.0,150.0,34.0,209.1,3.4
Brandenburg,Gesamt,2006,November,317.0,4.6,1086.0,-17.2,3.4
Mecklenburg-Vorpommern,Inland,2006,November,1367.0,73.3,5923.0,40.3,4.3
Mecklenburg-Vorpommern,Ausland,2006,November,38.0,137.5,74.0,138.7,1.9
Mecklenburg-Vorpommern,Gesamt,2006,November,1405.0,74.5,5997.0,41.0,4.3
Sachsen,Inland,2006,November,734.0,42.2,2195.0,60.5,3.0
Sachsen,Ausland,2006,November,67.0,570.0,135.0,382.1,2.0
Sachsen,Gesamt,2006,November,801.0,52.3,2330.0,66.9,2.9
Sachsen-Anhalt,Inland,2006,November,458.0,-48.0,1996.0,-9.6,4.4
Sachsen-Anhalt,Ausland,2006,November,19.0,-62.0,128.0,-51.0,6.7
Sachsen-Anhalt,Gesamt,2006,November,477.0,-48.8,2124.0,-14.0,4.5
Thüringen,Inland,2006,November,310.0,-16.2,1274.0,-39.0,4.1
Thüringen,Ausland,2006,November,18.0,20.0,75.0,212.5,4.2
Thüringen,Gesamt,2006,November,328.0,-14.8,1349.0,-36.2,4.1
Gesamt,Inland,2006,November,34508.0,11.8,144658.0,8.8,4.2
Gesamt,Ausland,2006,November,4433.0,24.6,14297.0,27.6,3.2
Gesamt,Gesamt,2006,November,38941.0,13.1,158955.0,10.2,4.1
Schleswig-Holstein,Inland,2006,Dezember,1544.0,58.5,3652.0,41.2,2.4
Schleswig-Holstein,Ausland,2006,Dezember,135.0,237.5,365.0,254.4,2.7
Schleswig-Holstein,Gesamt,2006,Dezember,1679.0,65.6,4017.0,49.4,2.4
Hamburg,Inland,2006,Dezember,.,.,.,.,.
Hamburg,Ausland,2006,Dezember,.,.,.,.,.
Hamburg,Gesamt,2006,Dezember,.,.,.,.,.
Niedersachsen,Inland,2006,Dezember,7360.0,70.6,34026.0,63.0,4.6
Niedersachsen,Ausland,2006,Dezember,409.0,40.1,1495.0,26.7,3.7
Niedersachsen,Gesamt,2006,Dezember,7769.0,68.6,35521.0,61.1,4.6
Bremen,Inland,2006,Dezember,.,.,.,.,.
Bremen,Ausland,2006,Dezember,.,.,.,.,.
Bremen,Gesamt,2006,Dezember,.,.,.,.,.
Nordrhein-Westfalen,Inland,2006,Dezember,4594.0,-12.9,16189.0,-5.6,3.5
Nordrhein-Westfalen,Ausland,2006,Dezember,1060.0,4.1,3129.0,1.2,3.0
Nordrhein-Westfalen,Gesamt,2006,Dezember,5654.0,-10.1,19318.0,-4.5,3.4
Hessen,Inland,2006,Dezember,3372.0,-14.5,12453.0,-5.7,3.7
Hessen,Ausland,2006,Dezember,222.0,29.1,932.0,32.8,4.2
Hessen,Gesamt,2006,Dezember,3594.0,-12.7,13385.0,-3.8,3.7
Rheinland-Pfalz,Inland,2006,Dezember,1967.0,22.1,6490.0,19.3,3.3
Rheinland-Pfalz,Ausland,2006,Dezember,540.0,24.4,1996.0,0.9,3.7
Rheinland-Pfalz,Gesamt,2006,Dezember,2507.0,22.6,8486.0,14.4,3.4
Baden-Württemberg,Inland,2006,Dezember,5624.0,44.8,28538.0,32.5,5.1
Baden-Württemberg,Ausland,2006,Dezember,1846.0,65.9,4968.0,42.7,2.7
Baden-Württemberg,Gesamt,2006,Dezember,7470.0,49.5,33506.0,33.9,4.5
Bayern,Inland,2006,Dezember,10204.0,12.5,65933.0,22.1,6.5
Bayern,Ausland,2006,Dezember,1919.0,82.6,8041.0,174.3,4.2
Bayern,Gesamt,2006,Dezember,12123.0,19.7,73974.0,30.0,6.1
Saarland,Inland,2006,Dezember,27.0,-30.8,117.0,-37.4,4.3
Saarland,Ausland,2006,Dezember,9.0,350.0,90.0,.,10.0
Saarland,Gesamt,2006,Dezember,36.0,-12.2,207.0,9.5,5.8
Berlin,Inland,2006,Dezember,167.0,20.1,652.0,-6.2,3.9
Berlin,Ausland,2006,Dezember,61.0,38.6,156.0,14.7,2.6
Berlin,Gesamt,2006,Dezember,228.0,24.6,808.0,-2.8,3.5
Brandenburg,Inland,2006,Dezember,271.0,57.6,886.0,-24.2,3.3
Brandenburg,Ausland,2006,Dezember,1.0,-50.0,2.0,-71.4,2.0
Brandenburg,Gesamt,2006,Dezember,272.0,56.3,888.0,-24.5,3.3
Mecklenburg-Vorpommern,Inland,2006,Dezember,2445.0,138.8,8964.0,30.5,3.7
Mecklenburg-Vorpommern,Ausland,2006,Dezember,16.0,100.0,36.0,125.0,2.3
Mecklenburg-Vorpommern,Gesamt,2006,Dezember,2461.0,138.5,9000.0,30.7,3.7
Sachsen,Inland,2006,Dezember,984.0,25.8,3162.0,-24.0,3.2
Sachsen,Ausland,2006,Dezember,20.0,-39.4,66.0,-62.1,3.3
Sachsen,Gesamt,2006,Dezember,1004.0,23.2,3228.0,-25.6,3.2
Sachsen-Anhalt,Inland,2006,Dezember,396.0,54.7,2110.0,138.7,5.3
Sachsen-Anhalt,Ausland,2006,Dezember,8.0,700.0,18.0,.,2.3
Sachsen-Anhalt,Gesamt,2006,Dezember,404.0,57.2,2128.0,140.5,5.3
Thüringen,Inland,2006,Dezember,465.0,57.1,1560.0,11.3,3.4
Thüringen,Ausland,2006,Dezember,8.0,0.0,14.0,-82.5,1.8
Thüringen,Gesamt,2006,Dezember,473.0,55.6,1574.0,6.3,3.3
Gesamt,Inland,2006,Dezember,39554.0,24.2,185124.0,23.2,4.7
Gesamt,Ausland,2006,Dezember,6264.0,48.5,21332.0,53.6,3.4
Gesamt,Gesamt,2006,Dezember,45818.0,27.1,206456.0,25.8,4.5
Schleswig-Holstein,Inland,2007,Januar,265.0,-57.7,1394.0,-2.2,5.3
Schleswig-Holstein,Ausland,2007,Januar,59.0,181.0,168.0,300.0,2.8
Schleswig-Holstein,Gesamt,2007,Januar,324.0,-49.9,1562.0,6.5,4.8
Hamburg,Inland,2007,Januar,.,.,.,.,.
Hamburg,Ausland,2007,Januar,.,.,.,.,.
Hamburg,Gesamt,2007,Januar,.,.,.,.,.
Niedersachsen,Inland,2007,Januar,3902.0,11.3,18915.0,2.2,4.8
Niedersachsen,Ausland,2007,Januar,210.0,11.1,629.0,-14.1,3.0
Niedersachsen,Gesamt,2007,Januar,4112.0,11.3,19544.0,1.6,4.8
Bremen,Inland,2007,Januar,.,.,.,.,.
Bremen,Ausland,2007,Januar,.,.,.,.,.
Bremen,Gesamt,2007,Januar,.,.,.,.,.
Nordrhein-Westfalen,Inland,2007,Januar,1604.0,-44.2,7130.0,-27.1,4.4
Nordrhein-Westfalen,Ausland,2007,Januar,260.0,-61.8,930.0,-67.8,3.6
Nordrhein-Westfalen,Gesamt,2007,Januar,1864.0,-47.6,8060.0,-36.4,4.3
Hessen,Inland,2007,Januar,2540.0,18.6,10336.0,11.3,4.1
Hessen,Ausland,2007,Januar,182.0,-7.6,791.0,20.9,4.3
Hessen,Gesamt,2007,Januar,2722.0,16.4,11127.0,11.9,4.1
Rheinland-Pfalz,Inland,2007,Januar,1252.0,-15.9,3945.0,-29.5,3.2
Rheinland-Pfalz,Ausland,2007,Januar,485.0,-20.5,1996.0,-10.2,4.1
Rheinland-Pfalz,Gesamt,2007,Januar,1737.0,-17.2,5941.0,-24.0,3.4
Baden-Württemberg,Inland,2007,Januar,4138.0,-10.3,22011.0,-5.9,5.3
Baden-Württemberg,Ausland,2007,Januar,1101.0,17.8,2948.0,-9.7,2.7
Baden-Württemberg,Gesamt,2007,Januar,5239.0,-5.6,24959.0,-6.3,4.8
Bayern,Inland,2007,Januar,8615.0,-6.9,68545.0,-11.4,8.0
Bayern,Ausland,2007,Januar,1264.0,2.8,4023.0,-5.9,3.2
Bayern,Gesamt,2007,Januar,9879.0,-5.8,72568.0,-11.1,7.3
Saarland,Inland,2007,Januar,29.0,7.4,149.0,36.7,5.1
Saarland,Ausland,2007,Januar,.,.,.,.,.
Saarland,Gesamt,2007,Januar,29.0,-14.7,149.0,16.4,5.1
Berlin,Inland,2007,Januar,96.0,-42.9,404.0,-63.5,4.2
Berlin,Ausland,2007,Januar,46.0,-22.0,120.0,-13.7,2.6
Berlin,Gesamt,2007,Januar,142.0,-37.4,524.0,-57.9,3.7
Brandenburg,Inland,2007,Januar,132.0,-4.3,522.0,-6.5,4.0
Brandenburg,Ausland,2007,Januar,8.0,60.0,22.0,175.0,2.8
Brandenburg,Gesamt,2007,Januar,140.0,-2.1,544.0,-3.9,3.9
Mecklenburg-Vorpommern,Inland,2007,Januar,988.0,-3.9,5951.0,30.9,6.0
Mecklenburg-Vorpommern,Ausland,2007,Januar,8.0,300.0,24.0,.,3.0
Mecklenburg-Vorpommern,Gesamt,2007,Januar,996.0,-3.3,5975.0,31.4,6.0
Sachsen,Inland,2007,Januar,222.0,-42.8,1253.0,-44.1,5.6
Sachsen,Ausland,2007,Januar,18.0,350.0,66.0,43.5,3.7
Sachsen,Gesamt,2007,Januar,240.0,-38.8,1319.0,-42.4,5.5
Sachsen-Anhalt,Inland,2007,Januar,459.0,-40.7,2353.0,-9.9,5.1
Sachsen-Anhalt,Ausland,2007,Januar,13.0,62.5,29.0,38.1,2.2
Sachsen-Anhalt,Gesamt,2007,Januar,472.0,-39.6,2382.0,-9.5,5.0
Thüringen,Inland,2007,Januar,581.0,-2.2,3082.0,-8.6,5.3
Thüringen,Ausland,2007,Januar,9.0,-50.0,120.0,-51.6,13.3
Thüringen,Gesamt,2007,Januar,590.0,-3.6,3202.0,-11.5,5.4
Gesamt,Inland,2007,Januar,24845.0,-10.1,146052.0,-8.8,5.9
Gesamt,Ausland,2007,Januar,3665.0,-7.7,11871.0,-18.5,3.2
Gesamt,Gesamt,2007,Januar,28510.0,-9.8,157923.0,-9.6,5.5
Schleswig-Holstein,Inland,2007,Februar,404.0,-26.9,1301.0,7.0,3.2
Schleswig-Holstein,Ausland,2007,Februar,45.0,7.1,78.0,4.0,1.7
Schleswig-Holstein,Gesamt,2007,Februar,449.0,-24.5,1379.0,6.8,3.1
Hamburg,Inland,2007,Februar,.,.,.,.,.
Hamburg,Ausland,2007,Februar,.,.,.,.,.
Hamburg,Gesamt,2007,Februar,.,.,.,.,.
Niedersachsen,Inland,2007,Februar,2946.0,6.9,13913.0,9.9,4.7
Niedersachsen,Ausland,2007,Februar,266.0,-17.1,824.0,-19.6,3.1
Niedersachsen,Gesamt,2007,Februar,3212.0,4.4,14737.0,7.7,4.6
Bremen,Inland,2007,Februar,.,.,.,.,.
Bremen,Ausland,2007,Februar,.,.,.,.,.
Bremen,Gesamt,2007,Februar,.,.,.,.,.
Nordrhein-Westfalen,Inland,2007,Februar,2963.0,4.3,8852.0,11.8,3.0
Nordrhein-Westfalen,Ausland,2007,Februar,760.0,-14.0,2673.0,-19.7,3.5
Nordrhein-Westfalen,Gesamt,2007,Februar,3723.0,0.0,11525.0,2.5,3.1
Hessen,Inland,2007,Februar,2551.0,17.6,9254.0,15.9,3.6
Hessen,Ausland,2007,Februar,203.0,31.8,498.0,4.6,2.5
Hessen,Gesamt,2007,Februar,2754.0,18.6,9752.0,15.3,3.5
Rheinland-Pfalz,Inland,2007,Februar,3169.0,-3.0,7782.0,-0.7,2.5
Rheinland-Pfalz,Ausland,2007,Februar,722.0,4.3,2053.0,1.0,2.8
Rheinland-Pfalz,Gesamt,2007,Februar,3891.0,-1.7,9835.0,-0.3,2.5
Baden-Württemberg,Inland,2007,Februar,4610.0,39.6,24803.0,67.4,5.4
Baden-Württemberg,Ausland,2007,Februar,1346.0,24.9,4648.0,56.0,3.5
Baden-Württemberg,Gesamt,2007,Februar,5956.0,36.0,29451.0,65.5,4.9
Bayern,Inland,2007,Februar,8897.0,14.7,50499.0,5.5,5.7
Bayern,Ausland,2007,Februar,1740.0,23.1,6062.0,11.1,3.5
Bayern,Gesamt,2007,Februar,10637.0,16.0,56561.0,6.1,5.3
Saarland,Inland,2007,Februar,65.0,91.2,372.0,332.6,5.7
Saarland,Ausland,2007,Februar,12.0,9.1,39.0,2.6,3.3
Saarland,Gesamt,2007,Februar,77.0,71.1,411.0,231.5,5.3
Berlin,Inland,2007,Februar,76.0,-25.5,266.0,-58.8,3.5
Berlin,Ausland,2007,Februar,45.0,800.0,158.0,409.7,3.5
Berlin,Gesamt,2007,Februar,121.0,13.1,424.0,-37.3,3.5
Brandenburg,Inland,2007,Februar,955.0,646.1,1474.0,275.1,1.5
Brandenburg,Ausland,2007,Februar,34.0,750.0,78.0,116.7,2.3
Brandenburg,Gesamt,2007,Februar,989.0,649.2,1552.0,261.8,1.6
Mecklenburg-Vorpommern,Inland,2007,Februar,1206.0,50.0,5448.0,81.9,4.5
Mecklenburg-Vorpommern,Ausland,2007,Februar,13.0,550.0,16.0,-94.3,1.2
Mecklenburg-Vorpommern,Gesamt,2007,Februar,1219.0,51.2,5464.0,66.7,4.5
Sachsen,Inland,2007,Februar,367.0,-0.3,1386.0,-28.5,3.8
Sachsen,Ausland,2007,Februar,16.0,-5.9,32.0,-44.8,2.0
Sachsen,Gesamt,2007,Februar,383.0,-0.5,1418.0,-29.0,3.7
Sachsen-Anhalt,Inland,2007,Februar,305.0,-3.8,1633.0,6.5,5.4
Sachsen-Anhalt,Ausland,2007,Februar,15.0,-21.1,45.0,-57.9,3.0
Sachsen-Anhalt,Gesamt,2007,Februar,320.0,-4.8,1678.0,2.3,5.2
Thüringen,Inland,2007,Februar,265.0,-3.3,1165.0,-36.3,4.4
Thüringen,Ausland,2007,Februar,16.0,220.0,34.0,-32.0,2.1
Thüringen,Gesamt,2007,Februar,281.0,0.7,1199.0,-36.2,4.3
Gesamt,Inland,2007,Februar,29087.0,15.4,128583.0,15.3,4.4
Gesamt,Ausland,2007,Februar,5239.0,12.0,17245.0,7.7,3.3
Gesamt,Gesamt,2007,Februar,34326.0,14.8,145828.0,14.3,4.2
Schleswig-Holstein,Inland,2007,März,1910.0,30.9,5187.0,15.0,2.7
Schleswig-Holstein,Ausland,2007,März,296.0,126.0,632.0,76.0,2.1
Schleswig-Holstein,Gesamt,2007,März,2206.0,38.7,5819.0,19.5,2.6
Hamburg,Inland,2007,März,.,.,.,.,.
Hamburg,Ausland,2007,März,.,.,.,.,.
Hamburg,Gesamt,2007,März,.,.,.,.,.
Niedersachsen,Inland,2007,März,13791.0,71.9,52134.0,148.9,3.8
Niedersachsen,Ausland,2007,März,922.0,12.0,2425.0,-15.7,2.6
Niedersachsen,Gesamt,2007,März,14713.0,66.3,54559.0,129.1,3.7
Bremen,Inland,2007,März,.,.,.,.,.
Bremen,Ausland,2007,März,.,.,.,.,.
Bremen,Gesamt,2007,März,.,.,.,.,.
Nordrhein-Westfalen,Inland,2007,März,4384.0,-19.3,12815.0,-7.3,2.9
Nordrhein-Westfalen,Ausland,2007,März,524.0,-18.8,1585.0,-27.1,3.0
Nordrhein-Westfalen,Gesamt,2007,März,4908.0,-19.2,14400.0,-10.0,2.9
Hessen,Inland,2007,März,4994.0,65.2,13992.0,30.2,2.8
Hessen,Ausland,2007,März,391.0,31.2,1208.0,0.8,3.1
Hessen,Gesamt,2007,März,5385.0,62.1,15200.0,27.2,2.8
Rheinland-Pfalz,Inland,2007,März,3943.0,37.1,10815.0,24.5,2.7
Rheinland-Pfalz,Ausland,2007,März,1106.0,27.4,3259.0,31.9,2.9
Rheinland-Pfalz,Gesamt,2007,März,5049.0,34.9,14074.0,26.1,2.8
Baden-Württemberg,Inland,2007,März,8161.0,58.9,30547.0,38.7,3.7
Baden-Württemberg,Ausland,2007,März,1978.0,64.6,6021.0,42.1,3.0
Baden-Württemberg,Gesamt,2007,März,10139.0,59.9,36568.0,39.2,3.6
Bayern,Inland,2007,März,10266.0,22.3,60007.0,6.5,5.8
Bayern,Ausland,2007,März,1743.0,31.1,4818.0,25.2,2.8
Bayern,Gesamt,2007,März,12009.0,23.5,64825.0,7.7,5.4
Saarland,Inland,2007,März,103.0,145.2,781.0,105.0,7.6
Saarland,Ausland,2007,März,10.0,-16.7,27.0,-6.9,2.7
Saarland,Gesamt,2007,März,113.0,109.3,808.0,97.1,7.2
